CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE
0000028023;;COUNTRY;Россия;Russian Federation;;225;;;
0000028024;0000028023;COUNTRY_DISTRICT;Центр;;;3;;;
0000028025;0000028024;REGION;Московская область;;;1;;;
0000028132;0000028025;CITY;Домодедово;;;10725;;;
0000029755;0000028025;CITY;Железнодорожный;;;21622;;;
0000029945;0000028025;CITY;Бронницы;;;10717;140170;;
0000030048;0000028025;CITY;Жуковский;;;20571;;;
0000030138;0000028025;CITY;Дубна;;;215;;;
0000030318;0000028025;CITY;Королев;;;20728;;;
0000030784;0000028025;CITY;Ивантеевка;;;21623;;;
0000030901;0000028025;CITY;Звенигород;;;10729;;;
0000031038;0000028025;CITY;Климовск;;;37147;;;
0000031209;0000028025;CITY;Реутов;;;21621;;;
0000031255;0000028025;CITY;Краснознаменск;;;21647;143090;;
0000031298;0000028025;CITY;Лобня;;;21641;;;
0000031513;0000028025;CITY;Лыткарино;;;21630;;;
0000031541;0000028025;CITY;Протвино;;;20576;;;
0000031598;0000028025;CITY;Пущино;;;217;142290;;
0000031666;0000028025;CITY;Фрязино;;;21619;;;
0000031716;0000028025;CITY;Электросталь;;;20523;;;
0000031861;0000028025;CITY;Красноармейск;;;100471;;;
0000031945;0000028025;CITY;Рошаль;;;21644;;;
0000031992;0000028025;CITY;Орехово-Зуево;;;10745;;;
0000032219;0000028025;CITY;Юбилейный;;;21620;;;
0000032243;0000028025;CITY;Дзержинский;;;21735;;;
0000032273;0000028025;CITY;Коломна;;;10734;;;
0000032609;0000028025;CITY;Подольск;;;10747;;;
0000032891;0000028025;CITY;Долгопрудный;;;214;;;
0000033097;0000028025;CITY;Химки;;;10758;;;
0000033527;0000028025;CITY;Серпухов;;;10754;;;
0000033889;0000028025;CITY;Балашиха;;;10716;;;
0000034400;0000028025;CITY;Городской округ Черноголовка;;;;142432;;
0000034410;0000028025;CITY;Электрогорск;;;37120;;;
0000034520;0000028025;CITY;Котельники;;;21651;;;
0000034553;0000028025;CITY;Лосино-Петровский;;;21635;;;
0000034633;0000028025;SUBREGION;Волоколамский район;;;;;;
0000035146;0000034633;CITY;Волоколамск;;;10721;;;
0000035922;0000028025;SUBREGION;Воскресенский район;;;;;;
0000036585;0000035922;CITY;Воскресенск;;;10722;;;
0000036891;0000028025;SUBREGION;Дмитровский район;;;;;;
0000037994;0000036891;CITY;Яхрома;;;20735;141840;;
0000038079;0000036891;CITY;Дмитров;;;10723;;;
0000038649;0000028025;SUBREGION;Егорьевский район;;;;;;
0000039313;0000038649;CITY;Егорьевск;;;10727;;;
0000039612;0000028025;SUBREGION;Зарайский район;;;;;;
0000039866;0000039612;CITY;Зарайск;;;10728;140600;;
0000039975;0000028025;SUBREGION;Истринский район;;;;143500;;
0000040724;0000039975;CITY;Дедовск;;;21627;;;
0000040939;0000039975;CITY;Истра;;;10731;;;
0000041091;0000039975;CITY;Истра-1;;;;143501;;
0000041092;0000039975;CITY;Снегири;;;;;;
0000041214;0000028025;SUBREGION;Каширский район;;;;;;
0000041522;0000041214;CITY;Кашира;;;10732;;;
0000041717;0000041214;CITY;Кашира-8;;;;142908;;
0000041768;0000041214;CITY;Ожерелье;;;103818;;;
0000041946;0000028025;SUBREGION;Клинский район;;;;141601;;
0000042452;0000041946;CITY;Клин;;;10733;;;
0000043183;0000041946;CITY;Высоковск;;;21648;141650;;
0000043242;0000028025;SUBREGION;Коломенский район;;;;;;
0000044140;0000028025;SUBREGION;Красногорский район;;;;;;
0000044453;0000044140;CITY;Красногорск;;;10735;;;
0000044874;0000028025;SUBREGION;Ленинский район;;;;;;
0000045110;0000044874;CITY;Видное;;;10719;;;
0000045228;0000028025;SUBREGION;Лотошинский район;;;;;;
0000045489;0000028025;SUBREGION;Луховицкий район;;;;;;
0000045978;0000045489;CITY;Луховицы;;;10737;;;
0000046134;0000028025;SUBREGION;Люберецкий район;;;;;;
0000046203;0000046134;CITY;Люберцы;;;10738;;;
0000046812;0000028025;SUBREGION;Можайский район;;;;;;
0000047843;0000046812;CITY;Можайск;;;10739;143200;;
0000048075;0000028025;SUBREGION;Мытищинский район;;;;;;
0000049473;0000048075;CITY;Мытищи;;;10740;;;
0000050283;0000028025;SUBREGION;Наро-Фоминский район;;;;;;
0000051349;0000050283;CITY;Наро-Фоминск;;;10741;;;
0000051773;0000050283;CITY;Верея;;;37160;143330;;
0000051872;0000050283;CITY;Апрелевка;;;10715;;;
0000052061;0000028025;SUBREGION;Ногинский район;;;;;;
0000052457;0000052061;CITY;Ногинск;;;10742;;;
0000053532;0000052061;CITY;Черноголовка;;;219;;;
0000053579;0000052061;CITY;Старая Купавна;;;21656;;;
0000053706;0000052061;CITY;Электроугли;;;21642;;;
0000053860;0000028025;SUBREGION;Одинцовский район;;;;;;
0000054523;0000053860;CITY;Кубинка;;;21625;;;
0000054559;0000053860;CITY;Голицыно;;;21646;;;
0000054606;0000053860;CITY;Одинцово;;;10743;;;
0000054945;0000028025;SUBREGION;Орехово-Зуевский район;;;;;;
0000055176;0000054945;CITY;Дрезна;;;21643;142660;;
0000055218;0000054945;CITY;Ликино-Дулево;;;37141;;;
0000055305;0000054945;CITY;Куровское;;;37144;;;
0000055858;0000028025;SUBREGION;Озерский район;;;;;;
0000055977;0000055858;CITY;Озеры;;;10744;;;
0000056303;0000028025;SUBREGION;Павлово-Посадский район;;;;;;
0000056325;0000056303;CITY;Павловский Посад;;;10746;;;
0000056947;0000028025;SUBREGION;Подольский район;;;;;;
0000057351;0000028025;SUBREGION;Пушкинский район;;;;;;
0000058308;0000057351;CITY;Пушкино;;;10748;;;
0000058810;0000028025;SUBREGION;Раменский район;;;;;;
0000060970;0000058810;CITY;Раменское;;;10750;;;
0000061268;0000028025;SUBREGION;Рузский район;;;;;;
0000062152;0000061268;CITY;Руза;;;10751;;;
0000062431;0000028025;SUBREGION;Сергиево-Посадский район;;;;;;
0000062869;0000062431;CITY;Краснозаводск;;;103816;141321;;
0000062941;0000062431;CITY;Сергиев Посад;;;10752;;;
0000063600;0000062431;CITY;Хотьково;;;21645;;;
0000064115;0000062431;CITY;Пересвет;;;103819;141320;;
0000064143;0000062431;CITY;Сергиев Посад-7;;;;141307;;
0000064144;0000028025;SUBREGION;Серебряно-Прудский район;;;;;;
0000064355;0000028025;SUBREGION;Серпуховский район;;;;;;
0000065151;0000028025;SUBREGION;Солнечногорский район;;;;;;
0000066240;0000065151;CITY;Солнечногорск;;;10755;;;
0000066513;0000065151;CITY;Солнечногорск-7;;;;141507;;
0000066517;0000065151;CITY;Солнечногорск-30;;;;141590;;
0000066519;0000065151;CITY;Солнечногорск-25;;;;141525;;
0000066520;0000065151;CITY;Солнечногорск-2;;;;141502;;
0000066934;0000028025;SUBREGION;Ступинский район;;;;;;
0000068662;0000066934;CITY;Ступино;;;10756;;;
0000069340;0000028025;SUBREGION;Талдомский район;;;;;;
0000069763;0000069340;CITY;Талдом;;;10757;;;
0000070089;0000028025;SUBREGION;Чеховский район;;;;;;
0000070878;0000070089;CITY;Чехов-2;;;;142302;;
0000070886;0000070089;CITY;Чехов;;;10761;;;
0000071070;0000070089;CITY;Чехов-3;;;;142303;;
0000071072;0000070089;CITY;Чехов-8;;;;142300;;
0000071264;0000028025;SUBREGION;Шатурский район;;;;;;
0000071564;0000071264;CITY;Шатура;;;10762;;;
0000071888;0000028025;SUBREGION;Щелковский район;;;;141100;;
0000072858;0000071888;CITY;Щелково;;;10765;;;
0000073174;0000028025;SUBREGION;Шаховской район;;;;;;
0000073738;0000028025;CITY;Москва;;;213;;;
0000077344;0000073738;CITY;Зеленоград;;;216;;;
0000077457;0000073738;CITY;Троицк;;;20674;;;
0000077774;0000073738;CITY;Щербинка;;;21624;;;
0000078911;0000073738;CITY;Московский;;;103817;142784;;
0000028026;0000028024;REGION;Белгородская область;;;10645;;;
0000133095;0000028026;CITY;Белгород;;;4;;;
0000133821;0000028026;CITY;Старый Оскол;;;10649;;;
0000134530;0000028026;CITY;Шебекино;;;20196;;;
0000134765;0000028026;SUBREGION;Алексеевский район;;;;;;
0000134970;0000134765;CITY;Алексеевка;;;20192;;;
0000135434;0000028026;CITY;Губкин;;;10646;;;
0000135715;0000028026;SUBREGION;Валуйский район;;;;;;
0000135999;0000135715;CITY;Валуйки;;;20193;;;
0000136529;0000028026;SUBREGION;Борисовский район;;;;;;
0000136797;0000028026;SUBREGION;Волоконовский район;;;;309650;;
0000137213;0000028026;SUBREGION;Вейделевский район;;;;;;
0000137563;0000028026;SUBREGION;Грайворонский район;;;;;;
0000137564;0000137563;CITY;Грайворон;;;20194;309372;;
0000137979;0000028026;SUBREGION;Губкинский район;;;;;;
0000138493;0000028026;SUBREGION;Ивнянский район;;;;;;
0000138786;0000028026;SUBREGION;Корочанский район;;;;;;
0000139301;0000138786;CITY;Короча;;;20195;309210;;
0000139407;0000028026;SUBREGION;Красненский район;;;;;;
0000139665;0000028026;SUBREGION;Красногвардейский район;;;;;;
0000139983;0000139665;CITY;Бирюч;;;34323;;;
0000140113;0000028026;SUBREGION;Краснояружский район;;;;;;
0000140371;0000028026;SUBREGION;Новооскольский район;;;;;;
0000140628;0000140371;CITY;Новый Оскол;;;10647;;;
0000140858;0000028026;SUBREGION;Прохоровский район;;;;;;
0000141347;0000028026;SUBREGION;Ракитянский район;;;;;;
0000141790;0000028026;SUBREGION;Ровеньский район;;;;;;
0000142083;0000028026;SUBREGION;Старооскольский район;;;;;;
0000142995;0000028026;SUBREGION;Чернянский район;;;;;;
0000143479;0000028026;SUBREGION;Шебекинский район;;;;;;
0000144169;0000028026;SUBREGION;Яковлевский район;;;;;;
0000144359;0000144169;CITY;Строитель;;;20587;309070;;
0000144961;0000028026;SUBREGION;Белгородский район;;;;;;
0000028027;0000028024;REGION;Ивановская область;;;10687;;;
0000121319;0000028027;CITY;Иваново;;;5;;;
0000122497;0000028027;SUBREGION;Верхнеландеховский район;;;;;;
0000122696;0000028027;SUBREGION;Ивановский район;;;;;;
0000123019;0000122696;CITY;Кохма;;;10690;;;
0000123686;0000028027;SUBREGION;Гаврилово-Посадский район;;;;;;
0000123688;0000123686;CITY;Гаврилов Посад;;;20597;155000;;
0000123966;0000028027;SUBREGION;Заволжский район;;;;;;
0000124332;0000123966;CITY;Заволжск;;;37152;;;
0000124466;0000028027;SUBREGION;Вичугский район;;;;;;
0000124665;0000124466;CITY;Вичуга;;;10688;;;
0000125243;0000028027;SUBREGION;Ильинский район;;;;;;
0000125564;0000028027;SUBREGION;Кинешемский район;;;;;;
0000126194;0000125564;CITY;Кинешма;;;10689;;;
0000126735;0000125564;CITY;Наволоки;;;37137;;;
0000126908;0000028027;SUBREGION;Комсомольский район;;;;;;
0000127120;0000126908;CITY;Комсомольск;;;20610;155150;;
0000127287;0000028027;SUBREGION;Лухский район;;;;155270;;
0000127534;0000028027;SUBREGION;Лежневский район;;;;;;
0000127966;0000028027;SUBREGION;Палехский район;;;;;;
0000128231;0000028027;SUBREGION;Пестяковский район;;;;;;
0000128498;0000028027;SUBREGION;Пучежский район;;;;155360;;
0000128823;0000128498;CITY;Пучеж;;;20613;;;
0000128962;0000028027;SUBREGION;Приволжский район;;;;155550;;
0000128964;0000128962;CITY;Плес;;;37130;155555;;
0000129107;0000128962;CITY;Приволжск;;;37127;;;
0000129377;0000028027;SUBREGION;Тейковский район;;;;;;
0000129679;0000129377;CITY;Тейково;;;20229;;;
0000129989;0000028027;SUBREGION;Родниковский район;;;;155250;;
0000130025;0000129989;CITY;Родники;;;20659;;;
0000130675;0000028027;SUBREGION;Савинский район;;;;155710;;
0000130972;0000028027;SUBREGION;Шуйский район;;;;;;
0000131079;0000130972;CITY;Шуя;;;10691;;;
0000131760;0000028027;SUBREGION;Фурмановский район;;;;;;
0000131788;0000131760;CITY;Фурманов;;;20682;;;
0000132261;0000028027;SUBREGION;Юрьевецкий район;;;;;;
0000132275;0000132261;CITY;Юрьевец;;;10692;;;
0000132735;0000028027;SUBREGION;Южский район;;;;;;
0000132736;0000132735;CITY;Южа;;;20648;155630;;
0000028028;0000028024;REGION;Калужская область;;;10693;;;
0000147475;0000028028;CITY;Калуга;;;6;;;
0000148557;0000028028;SUBREGION;Бабынинский район;;;;249210;;
0000148783;0000028028;CITY;Обнинск;;;967;;;
0000148963;0000028028;SUBREGION;Барятинский район;;;;;;
0000149224;0000028028;SUBREGION;Боровский район;;;;;;
0000149234;0000149224;CITY;Балабаново;;;20197;249000;;
0000149338;0000149224;CITY;Боровск;;;10698;;;
0000149454;0000149224;CITY;Ермолино;;;37153;249028;;
0000149510;0000149224;CITY;Боровск-1;;;;249010;;
0000150165;0000028028;SUBREGION;Спас-Деменский район;;;;;;
0000150450;0000150165;CITY;Спас-Деменск;;;20206;;;
0000150529;0000028028;SUBREGION;Дзержинский район;;;;;;
0000150573;0000150529;CITY;Кондрово;;;10696;;;
0000151186;0000028028;SUBREGION;Думиничский район;;;;249300;;
0000151377;0000028028;SUBREGION;Жуковский район;;;;;;
0000151378;0000151377;CITY;Кременки;;;37145;249185;;
0000151402;0000151377;CITY;Жуков;;;20199;;;
0000151473;0000151377;CITY;Белоусово;;;37163;249160;;
0000151915;0000028028;SUBREGION;Износковский район;;;;249880;;
0000152170;0000028028;SUBREGION;Жиздринский район;;;;;;
0000152178;0000152170;CITY;Жиздра;;;20198;249340;;
0000152433;0000028028;SUBREGION;Козельский район;;;;;;
0000152434;0000152433;CITY;Сосенский;;;20205;;;
0000152503;0000152433;CITY;Козельск;;;10695;;;
0000152984;0000028028;SUBREGION;Кировский район;;;;249440;;
0000153139;0000152984;CITY;Киров;;;20200;;;
0000153281;0000028028;SUBREGION;Куйбышевский район;;;;;;
0000153462;0000028028;SUBREGION;Малоярославецкий район;;;;;;
0000154121;0000153462;CITY;Малоярославец;;;10697;;;
0000154868;0000028028;SUBREGION;Людиновский район;;;;;;
0000154869;0000154868;CITY;Людиново;;;20201;;;
0000155224;0000028028;SUBREGION;Мещовский район;;;;;;
0000155365;0000155224;CITY;Мещовск;;;20203;249240;;
0000155760;0000028028;SUBREGION;Медынский район;;;;;;
0000155761;0000155760;CITY;Медынь;;;20202;249950;;
0000155982;0000028028;SUBREGION;Перемышльский район;;;;;;
0000156224;0000028028;SUBREGION;Сухиничский район;;;;;;
0000156289;0000156224;CITY;Сухиничи;;;20207;249270;;
0000156561;0000028028;SUBREGION;Мосальский район;;;;;;
0000156838;0000156561;CITY;Мосальск;;;20204;249930;;
0000156865;0000028028;SUBREGION;Ульяновский район;;;;249750;;
0000157037;0000028028;SUBREGION;Тарусский район;;;;;;
0000157561;0000157037;CITY;Таруса;;;20208;;;
