en
S,en,Ukraine,ru,РЈРєСЂР°РёРЅР°,ru,РЈРєСЂР°С—РЅР°
T,en,Kiev,ru,РљРёС—РІ,ua,РљРёС—РІ
R,en,Ivano-frankivs'ka obl,ru,IРІР°РЅРѕ-Р¤СЂР°РЅРєiРІСЃСЊРєР° РѕР±Р»,ua,IРІР°РЅРѕ-Р¤СЂР°РЅРєiРІСЃСЊРєР° РѕР±Р»
T,en,Babche,ru,Р‘Р°Р±С‡Рµ,ua,Р‘Р°Р±С‡Рµ
T,en,Bogorodchani,ru,Р‘РѕРіРѕСЂРѕРґС‡Р°РЅРё,ua,Р‘РѕРіРѕСЂРѕРґС‡Р°РЅРё
T,en,Bogrivka,ru,Р‘РѕРіСЂiРІРєР°,ua,Р‘РѕРіСЂiРІРєР°
T,en,Glibivka,ru,Р“Р»РёР±iРІРєР°,ua,Р“Р»РёР±iРІРєР°
T,en,Gliboke,ru,Р“Р»РёР±РѕРєРµ,ua,Р“Р»РёР±РѕРєРµ
T,en,Goroholina,ru,Р“РѕСЂРѕС…РѕР»РёРЅР°,ua,Р“РѕСЂРѕС…РѕР»РёРЅР°
T,en,Goroholin lis,ru,Р“РѕСЂРѕС…РѕР»РёРЅ Р›iСЃ,ua,Р“РѕСЂРѕС…РѕР»РёРЅ Р›iСЃ
T,en,Grabovets',ru,Р“СЂР°Р±РѕРІРµС†СЊ,ua,Р“СЂР°Р±РѕРІРµС†СЊ
T,en,Guta,ru,Р“СѓС‚Р°,ua,Р“СѓС‚Р°
T,en,Grinivka,ru,Р“СЂРёРЅiРІРєР°,ua,Р“СЂРёРЅiРІРєР°
T,en,Dzvinjach,ru,Р”Р·РІРёРЅСЏС‡,ua,Р”Р·РІРёРЅСЏС‡
T,en,Zhuraki,ru,Р–СѓСЂР°РєРё,ua,Р–СѓСЂР°РєРё
T,en,Zaberezhzhja,ru,Р—Р°Р±РµСЂРµР¶Р¶СЏ,ua,Р—Р°Р±РµСЂРµР¶Р¶СЏ
T,en,Ivanikivka,ru,IРІР°РЅРёРєiРІРєР°,ua,IРІР°РЅРёРєiРІРєР°
T,en,Kosmach,ru,РљРѕСЃРјР°С‡,ua,РљРѕСЃРјР°С‡
T,en,Krivets',ru,РљСЂРёРІРµС†СЊ,ua,РљСЂРёРІРµС†СЊ
T,en,Krichka,ru,РљСЂРёС‡РєР°,ua,РљСЂРёС‡РєР°
T,en,Lukvitsja,ru,Р›СѓРєРІРёС†СЏ,ua,Р›СѓРєРІРёС†СЏ
T,en,Markova,ru,РњР°СЂРєРѕРІР°,ua,РњР°СЂРєРѕРІР°
T,en,Mizhgir'ja,ru,РњiР¶РіiСЂ'СЏ,ua,РњiР¶РіiСЂ'СЏ
T,en,Monastirchani,ru,РњРѕРЅР°СЃС‚РёСЂС‡Р°РЅРё,ua,РњРѕРЅР°СЃС‚РёСЂС‡Р°РЅРё
T,en,Manjava,ru,РњР°РЅСЏРІР°,ua,РњР°РЅСЏРІР°
T,en,Nivochin,ru,РќРёРІРѕС‡РёРЅ,ua,РќРёРІРѕС‡РёРЅ
T,en,Pidgir'JA,ru,РџiРґРіiСЂ'РЇ,ua,РџiРґРіiСЂ'РЇ
T,en,Porogi,ru,РџРѕСЂРѕРіРё,ua,РџРѕСЂРѕРіРё
T,en,Pohivka,ru,РџРѕС…iРІРєР°,ua,РџРѕС…iРІРєР°
T,en,Rakovets',ru,Р Р°РєРѕРІРµС†СЊ,ua,Р Р°РєРѕРІРµС†СЊ
T,en,Rosil'na,ru,Р РѕСЃiР»СЊРЅР°,ua,Р РѕСЃiР»СЊРЅР°
T,en,Sadzhava,ru,РЎР°РґР¶Р°РІР°,ua,РЎР°РґР¶Р°РІР°
T,en,Skobichivka,ru,РЎРєРѕР±РёС‡iРІРєР°,ua,РЎРєРѕР±РёС‡iРІРєР°
T,en,Solotvin,ru,РЎРѕР»РѕС‚РІРёРЅ,ua,РЎРѕР»РѕС‚РІРёРЅ
T,en,Stari bogorodchani,ru,РЎС‚Р°СЂi Р‘РѕРіРѕСЂРѕРґС‡Р°РЅРё,ua,РЎС‚Р°СЂi Р‘РѕРіРѕСЂРѕРґС‡Р°РЅРё
T,en,Starunja,ru,РЎС‚Р°СЂСѓРЅСЏ,ua,РЎС‚Р°СЂСѓРЅСЏ
T,en,Hmelivka,ru,РҐРјРµР»iРІРєР°,ua,РҐРјРµР»iРІРєР°
T,en,JAblun'ka,ru,РЇР±Р»СѓРЅСЊРєР°,ua,РЇР±Р»СѓРЅСЊРєР°
T,en,Bolehiv,ru,Р‘РѕР»РµС…iРІ,ua,Р‘РѕР»РµС…iРІ
T,en,Guziyiv,ru,Р“СѓР·iС—РІ,ua,Р“СѓР·iС—РІ
T,en,Kozakivka,ru,РљРѕР·Р°РєiРІРєР°,ua,РљРѕР·Р°РєiРІРєР°
T,en,Mizhrichchja,ru,РњiР¶СЂiС‡С‡СЏ,ua,РњiР¶СЂiС‡С‡СЏ
T,en,Pidberezhzhja,ru,РџiРґР±РµСЂРµР¶Р¶СЏ,ua,РџiРґР±РµСЂРµР¶Р¶СЏ
T,en,Poljanitsja,ru,РџРѕР»СЏРЅРёС†СЏ,ua,РџРѕР»СЏРЅРёС†СЏ
T,en,Tisiv,ru,РўРёСЃiРІ,ua,РўРёСЃiРІ
T,en,Biloberizka,ru,Р‘iР»РѕР±РµСЂiР·РєР°,ua,Р‘iР»РѕР±РµСЂiР·РєР°
T,en,Bistrets',ru,Р‘РёСЃС‚СЂРµС†СЊ,ua,Р‘РёСЃС‚СЂРµС†СЊ
T,en,Bukovets',ru,Р‘СѓРєРѕРІРµС†СЊ,ua,Р‘СѓРєРѕРІРµС†СЊ
T,en,Verhnij JAseniv,ru,Р’РµСЂС…РЅiР№ РЇСЃРµРЅiРІ,ua,Р’РµСЂС…РЅiР№ РЇСЃРµРЅiРІ
T,en,Verhovina,ru,Р’РµСЂС…РѕРІРёРЅР°,ua,Р’РµСЂС…РѕРІРёРЅР°
T,en,Golovi,ru,Р“РѕР»РѕРІРё,ua,Р“РѕР»РѕРІРё
T,en,Goloshina,ru,Р“РѕР»РѕС€РёРЅР°,ua,Р“РѕР»РѕС€РёРЅР°
T,en,Gramotne,ru,Р“СЂР°РјРѕС‚РЅРµ,ua,Р“СЂР°РјРѕС‚РЅРµ
T,en,Grinjava,ru,Р“СЂРёРЅСЏРІР°,ua,Р“СЂРёРЅСЏРІР°
T,en,Dovgopole,ru,Р”РѕРІРіРѕРїРѕР»Рµ,ua,Р”РѕРІРіРѕРїРѕР»Рµ
T,en,Zamagora,ru,Р—Р°РјР°РіРѕСЂР°,ua,Р—Р°РјР°РіРѕСЂР°
T,en,Zelene,ru,Р—РµР»РµРЅРµ,ua,Р—РµР»РµРЅРµ
T,en,Il'tsi,ru,IР»СЊС†i,ua,IР»СЊС†i
T,en,Krasnik,ru,РљСЂР°СЃРЅРёРє,ua,РљСЂР°СЃРЅРёРє
T,en,Krasnoyillja,ru,РљСЂР°СЃРЅРѕС—Р»Р»СЏ,ua,РљСЂР°СЃРЅРѕС—Р»Р»СЏ
T,en,Krivopillja,ru,РљСЂРёРІРѕРїiР»Р»СЏ,ua,РљСЂРёРІРѕРїiР»Р»СЏ
T,en,Krivorivnja,ru,РљСЂРёРІРѕСЂiРІРЅСЏ,ua,РљСЂРёРІРѕСЂiРІРЅСЏ
T,en,Poljanki,ru,РџРѕР»СЏРЅРєРё,ua,РџРѕР»СЏРЅРєРё
T,en,Probijnivka,ru,РџСЂРѕР±iР№РЅiРІРєР°,ua,РџСЂРѕР±iР№РЅiРІРєР°
T,en,Stebni,ru,РЎС‚РµР±РЅi,ua,РЎС‚РµР±РЅi
