en
S,en,Kazakhstan,ru,РљР°Р·Р°С…СЃС‚Р°РЅ
R,en,Almaty obl,ru,РђР»РјР°С‚С‹
T,en,Ushtob,ru,РЈС€С‚РѕР±Рµ
T,en,Ushara,ru,РЈС€Р°СЂР°Р»
T,en,Tekeli,ru,РўРµРєРµР»Рё
T,en,Talgar,ru,РўР°Р»РіР°СЂ
T,en,Kaskelen,ru,РљР°СЃРєРµР»РµРЅ
T,en,Kapchaga,ru,РљР°РїС‡Р°РіР°Р№
T,en,Esik,ru,Р•СЃРёРє
T,en,Zharken,ru,Р–Р°СЂРєРµРЅС‚
T,en,Taldykorgan,ru,РўР°Р»РґС‹РєРѕСЂРіР°РЅ
R,en,Atyrau obl,ru,РђС‚С‹СЂР°Сѓ
T,en,Atyrau,ru,РђС‚С‹СЂР°Сѓ
R,en,East Kazakhstan obl,ru,Р’РѕСЃС‚РѕС‡РЅРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»
T,en,Shemonaix,ru,РЁРµРјРѕРЅР°РёС…Р°
T,en,Ayago,ru,РђСЏРіРѕР·
T,en,Ust-Kamenogorsk ,ru,РЈСЃС‚СЊ-РљР°РјРµРЅРѕРіРѕСЂСЃРє
T,en,Zyrayanov,ru,Р—С‹СЂСЏРЅРѕРІСЃРє
T,en,Kurchato,ru,РљСѓСЂС‡Р°С‚РѕРІ
T,en,Ridder,ru,Р РёРґРґРµСЂ
T,en,Semipalatinsk,ru,РЎРµРјРёРїР°Р»Р°С‚РёРЅСЃРє
T,en,Serebryans,ru,РЎРµСЂРµР±СЂСЏРЅСЃРє
T,en,Shulbinsk,ru,РЁСѓР»СЊР±РёРЅСЃРє
R,en,Jambyl obl,ru,Р–Р°РјР±С‹Р»СЊСЃРєР°СЏ РѕР±Р»
T,en,Kulan,ru,РљСѓР»Р°РЅ
T,en,Korday,ru,РљРѕСЂРґР°Р№
T,en,Zhanata,ru,Р–Р°РЅР°С‚Р°СЃ
T,en,Taraz,ru,РўР°СЂР°Р·
T,en,Ch,ru,РЁСѓ
R,en,West Kazakhstan obl,ru,Р—Р°РїР°РґРЅРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»
T,en,Aksay,ru,РђРєСЃР°Р№
T,en,Uralsk ,ru,РЈСЂР°Р»СЊСЃРє
T,en,Chapaev,ru,Р§Р°РїР°РµРІ
R,en,Karagandy obl,ru,РљР°СЂР°РіР°РЅРґРёРЅСЃРєР°СЏ РѕР±Р»
T,en,Satpaev,ru,РЎР°С‚РїР°РµРІ
T,en,Sarany,ru,РЎР°СЂР°РЅСЊ
T,en,Karazal,ru,РљР°СЂР°Р¶Р°Р»
T,en,Karaganda,ru,РљР°СЂР°РіР°РЅРґР°
T,en,Balkas,ru,Р‘Р°Р»С…Р°С€
T,en,Dzhezkazg,ru,Р–РµР·РєР°Р·РіР°РЅ
T,en,Temirtau,ru,РўРµРјРёСЂС‚Р°Сѓ
T,en,Shakhtin,ru,РЁР°С…С‚РёРЅСЃРє
R,en,Kostanay obl,ru,РљРѕСЃС‚Р°РЅР°Р№СЃРєР°СЏ РѕР±Р»
T,en,Sarykoly,ru,РЎР°СЂС‹РєРѕР»СЊ
T,en,Rudnyi,ru,Р СѓРґРЅС‹Р№
T,en,Zhitikar,ru,Р–РёС‚РёРєР°СЂР°
T,en,Arkalyk,ru,РђСЂРєР°Р»С‹Рє
T,en,Kostanai,ru,РљРѕСЃС‚Р°РЅР°Р№
T,en,Lisakovsk,ru,Р›РёСЃР°РєРѕРІСЃРє
R,en,Kyzylorda obl,ru,РљС‹Р·С‹Р»РѕСЂРґРёРЅСЃРєР°СЏ РѕР±Р»
T,en,Kizilorda,ru,РљС‹Р·С‹Р»РѕСЂРґР°
T,en,Baikonur,ru,Р‘Р°Р№РєРѕРЅСѓСЂ
T,en,Aralsk ,ru,РђСЂР°Р»СЊСЃРє
R,en,Mangystau obl,ru,РњР°РЅРіРёСЃС‚Р°СѓСЃРєР°СЏ РѕР±Р»
T,en,Zhanaoze,ru,Р–Р°РЅР°РѕР·РµРЅ
T,en,Aqtau,ru,РђРєС‚Р°Сѓ
R,en,Pavlodar obl,ru,РџР°РІР»РѕРґР°СЂСЃРєР°СЏ РѕР±Р»
T,en,Aksu,ru,РђРєСЃСѓ
T,en,Pavlodar,ru,РџР°РІР»РѕРґР°СЂ
T,en,Irtyshs,ru,Р?СЂС‚С‹С€СЃРє
T,en,Ekibastuz,ru,Р­РєРёР±Р°СЃС‚СѓР·
R,en,South Kazakhstan obl,ru,Р®Р¶РЅРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»
T,en,Shardar,ru,РЁР°СЂРґР°СЂР°
T,en,Turkestan,ru,РўСѓСЂРєРµСЃС‚Р°РЅ
T,en,Saryagas,ru,РЎР°СЂС‹Р°РіР°С€
T,en,Lenger,ru,Р›РµРЅРіРµСЂ
T,en,Kentau,ru,РљРµРЅС‚Р°Сѓ
T,en,Dzhetis,ru,Р–РµС‚С‹СЃР°Р№
T,en,Shymken,ru,РЁС‹РјРєРµРЅС‚
R,en,Akmola obl,ru,РђРєРјРѕР»РёРЅСЃРєР°СЏ РѕР±Р»
T,en,Schuchi,ru,Р©СѓС‡РёРЅСЃРє
T,en,Stepnogorsk,ru,РЎС‚РµРїРЅРѕРіРѕСЂСЃРє
T,en,Makinsk,ru,РњР°РєРёРЅСЃРє
T,en,Koksheta,ru,РљРѕРєС€РµС‚Р°Сѓ
T,en,Ermentau,ru,Р•СЂРјРµРЅС‚Р°Сѓ
T,en,Derzavinsk,ru,Р”РµСЂР¶Р°РІРёРЅСЃРє
T,en,Atbasar,ru,РђС‚Р±Р°СЃР°СЂ
T,en,Akkol ,ru,РђРєРєРѕР»СЊ
R,en,Aktobe obl,ru,РђРєС‚СЋР±РёРЅСЃРєР°СЏ РѕР±Р»
T,en,Emba,ru,Р­РјР±Р°
T,en,Xromtau,ru,РҐСЂРѕРјС‚Р°Сѓ
T,en,Alga,ru,РђР»РіР°
T,en,Kandyagas,ru,РљР°РЅРґС‹Р°РіР°С€
R,en,North Kazakhstan obl,ru,РЎРµРІРµСЂРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»
T,en,Petropavlovsk,ru,РџРµС‚СЂРѕРїР°РІР»РѕРІСЃРє
R,en,Astana,ru,РђСЃС‚Р°РЅР°
T,en,Astana,ru,РђСЃС‚Р°РЅР°
R,en,Almaty,ru,РђР»РјР°С‚С‹
T,en,Almaty,ru,РђР»РјР°С‚С‹
