Name_prod;Cost;skld13;skld89;skld99
"Apple iPad Mini 16Gb Wi-Fi MD531TU/A";"0";"0";"0";"0"
"Asus X75A TY032R 90NDOA218W1721RD13AU";"0";"0";"0";"0"
"Samsung Galaxy Tab 2 7.0 P3100 8Gb 3G GT-P3100TSASER";"0";"0";"0";"0"
"Apple iMac MD096RS/A";"0";"0";"0";"0"
"Asus MeMO Pad ME172V 16Gb 90OK0WB1102140U";"0";"0";"0";"0"
"Apple iPad Mini 16Gb Wi-Fi + Cellular MD540TU/A";"0";"0";"0";"0"
"Asus K56CM X0171H 90NUHL424W12445813AY";"0";"0";"0";"0"
"Apple MacBook Air MD231RS/A";"0";"0";"0";"0"
"Sony VAIO SVE1712T1R SV-E1712T1R/B";"0";"0";"0";"0"
"Asus K53SD SX930R 90N3ELD44W1I19RD13AY";"0";"0";"0";"0"
"Asus N56VZ S4017R 90N9IC442W2825RD13AU";"0";"0";"0";"0"
"Asus X55U SX025R 90N8OA248W2223RD43AU";"0";"0";"0";"0"
"Lenovo IdeaPad Z580 59366119";"0";"0";"0";"0"
"Dell Inspiron N5110 5110-2848";"0";"0";"0";"0"
"Asus X75VD TY015H 90NCOC218W16325813AU";"0";"0";"0";"0"
"Asus X75VD TY076R 90NCOC218W1D21RD13AU";"0";"0";"0";"0"
"Asus Zenbook UX32A R3007H 90NYOA112W12125823AY";"0";"0";"0";"0"
"Asus PadFone 2 64Gb 90AT0021-M01030";"0";"0";"0";"0"
"Dell Inspiron 7720 7720-6174";"0";"0";"0";"0"
"Asus NEXUS 7 16Gb 9OOK0MI00740U";"0";"0";"0";"0"
"Asus NEXUS 7 32Gb 3G 90OK0UI2100180U";"0";"0";"0";"0"
"Packard Bell EASYNOTE TS11-HR-581RU NX.BYJER.005";"0";"0";"0";"0"
"Apple MacBook Air MD223RS/A";"0";"0";"0";"0"
"Lenovo G780 59360020";"0";"0";"0";"0"
"HP Pavilion g6-2164sr B6X10EA";"0";"0";"0";"0"
"Asus N76VJ T4054H 90NB0041-M00680";"0";"0";"0";"0"
"Sony VAIO SVE1412E1R SV-E1412E1R/W";"0";"0";"0";"0"
"Asus K95VJ YZ062H 90NB00C1-M00720";"0";"0";"0";"0"
"Asus Transformer Pad TF300TG 32Gb 3G 90OK0JB1102730W";"0";"0";"0";"0"
"Apple iMac MD096C1RS/A";"0";"0";"0";"0"
"Asus Zenbook UX32VD R4002H 90NPOC112W12215813AY";"0";"0";"0";"0"
"Sony VAIO SVE1512H1R SV-E1512H1R/SI";"0";"0";"0";"0"
"Asus Eee PC X101CH BLK040S Black 90OA3PB22111987E33EQ";"0";"0";"0";"0"
"Asus G75VW 9Z212V 90N2VC112W12B7VD53AY";"0";"0";"0";"0"
"Apple iMac MD094RS/A";"0";"0";"0";"0"
"Asus Eee PC X101CH WHI038S White 90OA3PB12111987E33EQ";"0";"0";"0";"0"
"Toshiba Satellite L870-D5S PSKFNR-002003RU";"0";"0";"0";"0"
"Asus K75VJ T2137H 90NB00D1-M02200";"0";"0";"0";"0"
"Sony VAIO SVE1712E1R SV-E1712E1R/B";"0";"0";"0";"0"
"Dell Inspiron 7720 7720-6198";"0";"0";"0";"0"
"Asus N53SM SX088R 90NBGC718W1554RD13AY";"0";"0";"0";"0"
"Asus K73SD TY299R (BTS Edition) 90N3XAI58W1I13RD53AY";"0";"0";"0";"0"
"Dell Inspiron 7720 7720-6181";"0";"0";"0";"0"
"Samsung Galaxy Tab 2 10.1 P5110 16Gb GT-P5110TSASER";"0";"0";"0";"0"
"Apple Mac mini MD387RS/A";"0";"0";"0";"0"
"Asus K55VJ SX114H 90NB00A1-M01580";"0";"0";"0";"0"
"Acer Aspire E1-571G-53234G50Mnks NX.M57ER.002";"0";"0";"0";"0"
"Asus Transformer Pad Infinity 700 64Gb dock 90OK0QB2100260Y";"0";"0";"0";"0"
"Apple iPad 4 64Gb Wi-Fi + Cellular MD524TU/A";"0";"0";"0";"0"
"Asus X55VD SX089R 90N5OC118W2837RD43AU";"0";"0";"0";"0"
"Asus Zenbook Prime UX21A K1009X 90NKOA322W1231XD23AC";"0";"0";"0";"0"
"Apple iPad Mini 32Gb Wi-Fi MD529TU/A";"0";"0";"0";"0"
"Asus MeMO Pad ME172V 16Gb 90OK0WB2102150U";"0";"0";"0";"0"
"Asus VivoTab Smart ME400C-1A015W 90OK0XB1100350U";"0";"0";"0";"0"
"Samsung Smart PC 64Gb XE500T1C-A02";"0";"0";"0";"0"
"Asus VivoBook S400CA CA021H 90NB0051-M00570";"0";"0";"0";"0"
"Asus Zenbook UX32A R3002H (XMAS Edition)";"0";"0";"0";"0"
"Apple iMac MD095RS/A";"0";"0";"0";"0"
"Asus G75VX CV119H 90NLEC612W11845853AY";"0";"0";"0";"0"
"Asus N76VJ T4006H 90NB0041-M00880";"0";"0";"0";"0"
"Samsung Galaxy Note 10.1 3G 64Gb GT-N8000EAFSER";"0";"0";"0";"0"
"Dell Inspiron 7720 7720-6150";"0";"0";"0";"0"
"Dell Inspiron N5050 5050-0486";"0";"0";"0";"0"
"Toshiba Satellite C850-G2K PSKCCR-05E00URU";"0";"0";"0";"0"
"Asus Eee PC 1011CX BLK045S Black 90OA3SB22212987E23EQ";"0";"0";"0";"0"
"Acer Aspire V3-771G-53216G50Makk NX.RYPER.011";"0";"0";"0";"0"
"Apple iPad Mini 64Gb Wi-Fi MD530TU/A";"0";"0";"0";"0"
"Apple iPad new 64GB Wi-Fi + Cellular MD368RS/A";"0";"0";"0";"0"
"Asus VivoBook X202E CT090H 90NFQA424W13125813AU";"0";"0";"0";"0"
"Sony VAIO SVE1712S1R SV-E1712S1R/B";"0";"0";"0";"0"
"Sony VAIO SVS1312E3R SV-S1312E3R/R";"0";"0";"0";"0"
"Sony VAIO SVS1312E3R SV-S1312E3R/W";"0";"0";"0";"0"
"Asus VivoTab Smart ME400CL 1B003W 90OK0YB2100060U";"0";"0";"0";"0"
"Prestigio MultiPad 5580 PMP5580C";"0";"0";"0";"0"
"Asus K53U (X53U) SX158R 90N58A128W1653RD13AC";"0";"0";"0";"0"
"Sony VAIO SVE1511T1R SV-E1511T1R/SI";"0";"0";"0";"0"
"Lenovo IdeaCentre C240 57310892";"0";"0";"0";"0"
"Asus N56VB S4063H";"0";"0";"0";"0"
"Asus VivoTab RT TF600TG 64Gb 3G dock 90OK0TB1100310Y";"0";"0";"0";"0"
"Asus Zenbook Touch UX31A C4027H 90NIOA342W11225813AC";"0";"0";"0";"0"
"Asus Eee PC 1025C GRY001B 90OA3FB76212997E33EU";"0";"0";"0";"0"
"Apple MacBook Pro MD102RS/A";"0";"0";"0";"0"
"Sony VAIO SVE1512F1R SV-E1512F1R/W";"0";"0";"0";"0"
"Toshiba Satellite C850-G1K PSKC8R-0FC010RU";"0";"0";"0";"0"
"Asus Memo Pad Smart ME301T-1A031A 90NK0011-M00850";"0";"0";"0";"0"
"Asus VivoTab Smart ME400CL 1A004W 90OK0YB1100070U";"0";"0";"0";"0"
"Samsung 530U4C-S08 NP530U4C-S08RU";"0";"0";"0";"0"
"Asus EeeTOP ET2700INKS 90PT0021001740Q";"0";"0";"0";"0"
"Apple MacBook Pro MD103RS/A";"0";"0";"0";"0"
"Asus K95VJ YZ061H 90NB00C1-M00710";"0";"0";"0";"0"
"Asus X501A-XX080R 90NNOA114W0111RD13AU";"0";"0";"0";"0"
"Dell Inspiron 5521 5521-9920";"0";"0";"0";"0"
"Lenovo IdeaPad B570 59320947";"0";"0";"0";"0"
"Sony VAIO SVE1112M1R SV-E1112M1R/W";"0";"0";"0";"0"
"Apple iPad new 64GB Wi-Fi + Cellular MD371RS/A";"0";"0";"0";"0"
"Sony Xperia Tablet S 16Gb SGPT121RU";"0";"0";"0";"0"
"Samsung 900X4C-A01 NP900X4C-A01RU";"0";"0";"0";"0"
