ID;FullName;CityName;OblName;Center;NalSumLimit;EngName
1588;Адыгейск, Адыгея респ.;Адыгейск;Адыгея респ.;;no limit;
1590;Афипсип, Адыгея респ.;Афипсип;Адыгея респ.;;no limit;
1600;Козет, Адыгея респ.;Козет;Адыгея респ.;;no limit;
1229;Кошехабль, Адыгея респ.;Кошехабль;Адыгея респ.;;0.00;
1233;Майкоп, Адыгея респ.;Майкоп;Адыгея респ.;;no limit;Maykop
1083;Натырбово, Адыгея респ.;Натырбово;Адыгея респ.;;0.00;
1617;Псекупс, Адыгея респ.;Псекупс;Адыгея респ.;;no limit;
1350;Тахтамукай, Адыгея респ.;Тахтамукай;Адыгея респ.;;no limit;
1624;Тлюстенхабль, Адыгея респ.;Тлюстенхабль;Адыгея респ.;;no limit;
1627;Энем, Адыгея респ.;Энем;Адыгея респ.;;0.00;
323;Яблоновский, Адыгея респ.;Яблоновский;Адыгея респ.;;0.00;
15403;Акташ, Алтай респ.;Акташ;Алтай респ.;;0.00;
13481;Артыбаш, Алтай респ.;Артыбаш;Алтай респ.;;0.00;
13516;Барангол, майминский р-н, Алтай респ.;Барангол, майминский р-н;Алтай респ.;;0.00;
13523;Барлак, Алтай респ.;Барлак;Алтай респ.;;0.00;
13504;Бирюля, Алтай респ.;Бирюля;Алтай респ.;;no limit;
822;Горно-Алтайск;Горно-Алтайск;Алтай респ.;;no limit;Gorno-Altaysk
13512;Дубровка, Алтай респ.;Дубровка;Алтай респ.;;no limit;
13514;Известковый, Алтай респ.;Известковый;Алтай респ.;;0.00;
13521;Камлак, Алтай респ.;Камлак;Алтай респ.;;0.00;
13518;Катунь, Чемальский р-н, Алтай респ.;Катунь, Чемальский р-н;Алтай респ.;;no limit;
15404;Кош-Агач, Алтай респ.;Кош-Агач;Алтай респ.;;0.00;
77;Майма, Алтай респ.;Майма;Алтай респ.;;no limit;
13476;Манжерок, Майминский р-н, Алтай респ.;Манжерок, Майминский р-н;Алтай респ.;;no limit;
13524;Мыюта, Алтай респ.;Мыюта;Алтай респ.;;0.00;
13482;Онгудай, Алтай респ.;Онгудай;Алтай респ.;;0.00;
13505;Паспаул, Алтай респ.;Паспаул;Алтай респ.;;0.00;
